TIMESTAMP,Hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
05/03/2015 12:00 AM,0,,,,,,,,,,
05/03/2015 12:15 AM,0,,,,,,,,,,
05/03/2015 12:30 AM,0,,,,,,,,,,
05/03/2015 12:45 AM,0,,,,,,,,,,
05/03/2015 1:00 AM,1,,,,,,,,,,
05/03/2015 1:15 AM,1,,,,,,,,,,
05/03/2015 1:30 AM,1,,,,,,,,,,
05/03/2015 1:45 AM,1,,,,,,,,,,
05/03/2015 2:00 AM,2,0,0,0,0,0,,,,,
05/03/2015 2:15 AM,2,,,,,,,,,,
05/03/2015 2:30 AM,2,,,,,,,,,,
05/03/2015 2:45 AM,2,,,,,,,,,,
05/03/2015 3:00 AM,3,0,0,0,0,0,,,,,
05/03/2015 3:15 AM,3,,,,,,,,,,
05/03/2015 3:30 AM,3,,,,,,,,,,
05/03/2015 3:45 AM,3,,,,,,,,,,
05/03/2015 4:00 AM,4,,,,,,,,,,
05/03/2015 4:15 AM,4,,,,,,,,,,
05/03/2015 4:30 AM,4,,,,,,,,,,
05/03/2015 4:45 AM,4,,,,,,,,,,
05/03/2015 5:00 AM,5,,,,,,,,,,
05/03/2015 5:15 AM,5,,,,,,,,,,
05/03/2015 5:30 AM,5,,,,,,,,,,
05/03/2015 5:45 AM,5,,,,,,,,,,
05/03/2015 6:00 AM,6,,,,,,,,,,
05/03/2015 6:15 AM,6,,,,,,,,,,
05/03/2015 6:30 AM,6,,,,,,,,,,
05/03/2015 6:45 AM,6,,,,,,,,,,
05/03/2015 7:00 AM,7,,,,,,,,,,
05/03/2015 7:15 AM,7,120,88,72,120,44,,,,,
05/03/2015 7:30 AM,7,144,28,104,140,48,,,,,
05/03/2015 7:45 AM,7,204,44,20,172,72,,,,,
05/03/2015 8:00 AM,8,172,92,176,128,80,,,,,
05/03/2015 8:15 AM,8,228,116,240,144,152,,,,,
05/03/2015 8:30 AM,8,364,188,156,188,164,,,,,
05/03/2015 8:45 AM,8,444,284,632,232,304,,,,,
05/03/2015 9:00 AM,9,688,496,112,460,512,,,,,
05/03/2015 9:15 AM,9,796,652,600,592,428,,,,,
05/03/2015 9:30 AM,9,936,868,524,712,784,,,,,
05/03/2015 9:45 AM,9,996,1104,588,700,700,,,,,
05/03/2015 10:00 AM,10,1160,912,636,716,768,,,,,
05/03/2015 10:15 AM,10,1276,1408,696,644,724,,,,,
05/03/2015 10:30 AM,10,1012,1080,496,504,592,,,,,
05/03/2015 10:45 AM,10,964,1192,680,640,616,,,,,
05/03/2015 11:00 AM,11,1032,1152,592,620,664,,,,,
05/03/2015 11:15 AM,11,1016,952,580,632,688,,,,,
05/03/2015 11:30 AM,11,972,1100,488,524,576,,,,,
05/03/2015 11:45 AM,11,976,1040,628,604,560,,,,,
05/03/2015 12:00 PM,12,1076,1080,608,696,476,,,,,
05/03/2015 12:15 PM,12,892,792,452,652,380,284,,,,
05/03/2015 12:30 PM,12,924,928,532,340,380,300,,,,
05/03/2015 12:45 PM,12,860,900,572,508,436,308,,,,
05/03/2015 1:00 PM,13,1116,1224,832,612,708,,,,,
05/03/2015 1:15 PM,13,772,832,456,408,508,252,,,,
05/03/2015 1:30 PM,13,1076,1168,744,592,760,284,,,,
05/03/2015 1:45 PM,13,1096,1196,692,580,768,308,,,,
05/03/2015 2:00 PM,14,908,1032,568,428,584,164,,,,
05/03/2015 2:15 PM,14,1080,1108,712,504,692,268,,,,
05/03/2015 2:30 PM,14,1048,1256,848,408,644,152,,,,
05/03/2015 2:45 PM,14,1240,1368,504,712,600,304,,,,
05/03/2015 3:00 PM,15,852,1056,708,408,380,252,,,,
05/03/2015 3:15 PM,15,932,1188,632,368,728,196,,,,
05/03/2015 3:30 PM,15,1080,1364,596,392,244,236,,300,,
05/03/2015 3:45 PM,15,864,984,604,616,472,96,,272,,
05/03/2015 4:00 PM,16,824,1048,648,468,268,196,,208,,
05/03/2015 4:15 PM,16,812,1348,588,388,456,192,,184,,
05/03/2015 4:30 PM,16,1072,,848,588,536,280,,312,,
05/03/2015 4:45 PM,16,464,712,316,140,140,104,,96,,
05/03/2015 5:00 PM,17,548,1220,548,508,296,64,,196,,
05/03/2015 5:15 PM,17,556,904,432,392,252,296,400,180,,
05/03/2015 5:30 PM,17,732,792,484,476,264,84,324,204,,
05/03/2015 5:45 PM,17,352,448,196,348,156,172,212,176,,
05/03/2015 6:00 PM,18,388,372,220,288,140,124,244,184,,
05/03/2015 6:15 PM,18,180,236,144,264,44,148,220,128,,
05/03/2015 6:30 PM,18,244,248,152,232,84,124,108,176,,
05/03/2015 6:45 PM,18,196,204,148,292,104,184,156,148,,
05/03/2015 7:00 PM,19,72,136,52,180,80,152,92,116,,
05/03/2015 7:15 PM,19,,,,,,,,,,
05/03/2015 7:30 PM,19,,,,,,,,,,
05/03/2015 7:45 PM,19,,,,,,,,,,
05/03/2015 8:00 PM,20,,,,,,,,,,
05/03/2015 8:15 PM,20,,,,,,,,,,
05/03/2015 8:30 PM,20,,,,,,,,,,
05/03/2015 8:45 PM,20,,,,,,,,,,
05/03/2015 9:00 PM,21,,,,,,,,,,
05/03/2015 9:15 PM,21,,,,,,,,,,
05/03/2015 9:30 PM,21,,,,,,,,,,
05/03/2015 9:45 PM,21,,,,,,,,,,
05/03/2015 10:00 PM,22,,,,,,,,,,
05/03/2015 10:15 PM,22,,,,,,,,,,
05/03/2015 10:30 PM,22,,,,,,,,,,
05/03/2015 10:45 PM,22,,,,,,,,,,
05/03/2015 11:00 PM,23,,,,,,,,,,
05/03/2015 11:15 PM,23,,,,,,,,,,
05/03/2015 11:30 PM,23,,,,,,,,,,
05/03/2015 11:45 PM,23,,,,,,,,,,
05/04/2015 12:00 AM,0,,,,,,,,,,
05/04/2015 12:15 AM,0,,,,,,,,,,
05/04/2015 12:30 AM,0,,,,,,,,,,
05/04/2015 12:45 AM,0,,,,,,,,,,
05/04/2015 1:00 AM,1,,,,,,,,,,
05/04/2015 1:15 AM,1,,,,,,,,,,
05/04/2015 1:30 AM,1,,,,,,,,,,
05/04/2015 1:45 AM,1,,,,,,,,,,
05/04/2015 2:00 AM,2,0,0,0,0,0,0,0,0,,
05/04/2015 2:15 AM,2,,,,,,,,,,
05/04/2015 2:30 AM,2,,,,,,,,,,
05/04/2015 2:45 AM,2,,,,,,,,,,
05/04/2015 3:00 AM,3,0,0,0,0,0,0,0,0,,
05/04/2015 3:15 AM,3,,,,,,,,,,
05/04/2015 3:30 AM,3,,,,,,,,,,
05/04/2015 3:45 AM,3,,,,,,,,,,
05/04/2015 4:00 AM,4,,,,,,,,,,
05/04/2015 4:15 AM,4,,,,,,,,,,
05/04/2015 4:30 AM,4,,,,,,,,,,
05/04/2015 4:45 AM,4,,,,,,,,,,
05/04/2015 5:00 AM,5,,,,,,,,,,
05/04/2015 5:15 AM,5,,,,,,,,,,
05/04/2015 5:30 AM,5,,,,,,,,,,
05/04/2015 5:45 AM,5,,,,,,,,,,
05/04/2015 6:00 AM,6,,28,,16,,100,,20,,
05/04/2015 6:15 AM,6,56,36,80,,,128,68,52,,
05/04/2015 6:30 AM,6,12,32,16,32,,104,,8,,
05/04/2015 6:45 AM,6,72,32,20,100,,20,44,,,
05/04/2015 7:00 AM,7,,,,,156,96,44,24,,
05/04/2015 7:15 AM,7,0,80,40,88,,36,,,,
05/04/2015 7:30 AM,7,44,12,44,40,,116,4,44,,
05/04/2015 7:45 AM,7,4,32,,36,48,40,80,72,,
05/04/2015 8:00 AM,8,76,,,8,,,,,,
05/04/2015 8:15 AM,8,,16,32,24,12,32,172,76,,
05/04/2015 8:30 AM,8,156,64,56,,36,160,104,40,,
05/04/2015 8:45 AM,8,72,56,152,56,172,124,176,88,,
05/04/2015 9:00 AM,9,200,240,260,120,,92,300,88,,
05/04/2015 9:15 AM,9,184,304,216,0,216,56,224,132,,
05/04/2015 9:30 AM,9,384,364,332,124,260,96,436,216,,
05/04/2015 9:45 AM,9,592,616,484,272,232,52,632,328,,
05/04/2015 10:00 AM,10,584,652,608,212,340,92,684,176,,
05/04/2015 10:15 AM,10,732,908,592,352,420,100,876,,,
05/04/2015 10:30 AM,10,692,1024,600,348,520,124,768,300,,
05/04/2015 10:45 AM,10,748,948,644,324,452,100,820,48,,
05/04/2015 11:00 AM,11,688,1080,544,384,484,124,840,148,,
05/04/2015 11:15 AM,11,688,992,692,296,500,36,832,136,,
05/04/2015 11:30 AM,11,612,984,488,304,564,132,900,116,,
05/04/2015 11:45 AM,11,640,1108,520,236,532,112,912,156,,
05/04/2015 12:00 PM,12,592,892,720,304,684,176,792,196,,
05/04/2015 12:15 PM,12,700,1136,624,388,620,40,1036,104,,
05/04/2015 12:30 PM,12,600,1008,516,360,588,144,732,152,,
05/04/2015 12:45 PM,12,664,1344,588,360,736,56,1116,128,,
05/04/2015 1:00 PM,13,668,716,640,372,772,200,1028,88,,
05/04/2015 1:15 PM,13,532,908,492,348,640,44,504,140,,
05/04/2015 1:30 PM,13,588,980,512,396,704,128,1364,144,,
05/04/2015 1:45 PM,13,668,984,480,372,684,156,916,156,,
05/04/2015 2:00 PM,14,552,1040,580,312,628,92,924,80,,
05/04/2015 2:15 PM,14,604,936,412,424,816,148,1032,,,
05/04/2015 2:30 PM,14,560,1060,728,420,672,228,952,168,,
05/04/2015 2:45 PM,14,528,788,508,148,568,12,664,136,,
05/04/2015 3:00 PM,15,492,796,592,436,580,100,1256,,,
05/04/2015 3:15 PM,15,460,864,556,268,436,112,356,72,,
05/04/2015 3:30 PM,15,512,1052,740,372,560,56,856,,,
05/04/2015 3:45 PM,15,516,832,488,328,500,148,668,,,
05/04/2015 4:00 PM,16,516,892,588,348,412,172,712,,,
05/04/2015 4:15 PM,16,464,784,520,296,428,84,604,,,
05/04/2015 4:30 PM,16,452,896,568,320,392,132,644,,,
05/04/2015 4:45 PM,16,436,804,532,320,436,116,528,,,
05/04/2015 5:00 PM,17,664,896,684,356,436,200,544,,,
05/04/2015 5:15 PM,17,448,728,468,312,328,124,356,,,
05/04/2015 5:30 PM,17,236,352,244,192,172,48,196,,,
05/04/2015 5:45 PM,17,248,280,252,260,160,116,224,,,
05/04/2015 6:00 PM,18,300,284,176,248,160,132,156,,,
05/04/2015 6:15 PM,18,180,220,144,228,156,144,136,,,
05/04/2015 6:30 PM,18,100,108,40,156,68,96,64,108,,
05/04/2015 6:45 PM,18,120,56,88,172,88,140,116,56,,
05/04/2015 7:00 PM,19,120,144,108,152,104,160,60,108,,
05/04/2015 7:15 PM,19,56,40,80,136,44,56,64,108,,
05/04/2015 7:30 PM,19,68,68,60,132,80,88,28,48,,
05/04/2015 7:45 PM,19,108,36,24,32,72,104,112,64,,
